longitude,latitude,pa,sst,cuv,ph
147.9606,-43.1306,32.05,14.960093321676698,0.0,8.079149842111631
148.1076,-42.5832,46.4,15.238338354516552,0.0,8.087890958165827
148.3043,-42.0561,19.1,15.576605266958834,0.0,8.08315684520391
147.2914,-43.1937,0.0,14.581054181514805,0.0,8.089848130219764
144.6497,-40.8989,5.9,15.451828766659842,0.0,8.08204843724319
148.0048,-42.4388,2.2,15.119249139374572,0.0,8.092813055727605
148.3163,-41.9033,21.52,15.596975920401654,0.0,8.081025868867215
146.4259,-41.1427,1.2,15.354030049981812,0.0,8.07716528766975
147.1418,-43.2938,19.81,14.559367126928679,0.0,8.087418159806498
148.1618,-42.412,60.2,15.25371800389792,0.0,8.086726491331213
145.9028,-43.3025,12.52,14.794828121956161,0.0,8.073802666166317
145.9029,-43.3006,4.08,14.794828121956161,0.0,8.073802666166317
145.8966,-43.3122,11.833333333333334,14.834483957258378,0.0,8.073588120688765
147.4164,-43.0585,44.9,14.584043127884192,0.0,8.094859381919076
148.3175,-41.5816,1.9,15.768244436884615,0.0,8.079663969379432
145.9668,-43.3066,6.8,14.689937648588963,0.0,8.072660815273231
148.069,-42.1899,1.3,15.249429460880194,0.0,8.086999775102248
147.9804,-42.6435,8.9,15.031361204265057,0.0,8.089893489478264
147.9736,-42.8835,10.8,15.017831434796078,0.0,8.085458718821478
147.1793,-43.3542,21.1,14.614566695829232,0.0,8.08623682040048
147.6283,-40.8225,1.8,15.536968966236943,0.0,8.076387778327915
146.7843,-41.056,3.1,15.420280352798292,0.0,8.077566431435685
146.79,-41.0544,1.1,15.420280352798292,0.0,8.077566431435685
146.2834,-43.6445,18.5,14.741872961311367,0.0,8.074745349574847
145.9862,-43.3227,8.299999999999999,14.689937648588963,0.0,8.072660815273231
145.983,-43.3219,8.5,14.689937648588963,0.0,8.072660815273231
145.9724,-43.4165,9.66,14.75091162565304,0.0,8.071926934026953
145.9696,-43.4218,34.13333333333333,14.75091162565304,0.0,8.071926934026953
