longitude,latitude,pa,sst,cuv,ph
148.1076,-42.5832,46.4,15.43648170981654,0.07040896203450886,8.070612400190482
148.3043,-42.0561,19.1,15.721888264525882,0.03941544844878983,8.064862606153056
147.2914,-43.1937,0.0,14.787400220509852,0.12757720443167916,8.074691510144536
144.6497,-40.8989,5.9,15.643271542277171,0.061400276889778116,8.068099950777915
148.0048,-42.4388,2.2,15.309501447702907,0.01966453897270457,8.075427984553924
148.3163,-41.9033,21.52,15.706873527968025,0.04797029493659595,8.062455907897377
146.4259,-41.1427,1.2,15.523575564988969,0.07679081083939208,8.06310046372774
147.1418,-43.2938,19.81,14.782223252882135,0.08318454895823342,8.072450314570382
148.1618,-42.412,60.2,15.443993373323329,0.052227623121487245,8.069251519359586
145.9028,-43.3025,12.52,15.035852244831053,0.12199395291323914,8.059234220610609
145.9029,-43.3006,4.08,15.035852244831053,0.12199395291323914,8.059234220610609
145.8966,-43.3122,11.833333333333334,15.074207351525077,0.13845593638496803,8.059064366449212
147.4164,-43.0585,44.9,14.790924474354082,0.04499232468161472,8.07963456152186
148.3175,-41.5816,1.9,15.828655900904321,0.043973807925972774,8.060666001238124
145.9668,-43.3066,6.8,14.928659670566255,0.11765028346075636,8.05802526868404
148.069,-42.1899,1.3,15.415134542318365,0.030442688657192213,8.069346479171502
147.9804,-42.6435,8.9,15.234603466380324,0.029796138383858486,8.072890266044109
147.9736,-42.8835,10.8,15.235054185162582,0.07291958247123481,8.068804364598881
147.1793,-43.3542,21.1,14.836999521088597,0.10755590043378416,8.071264235591046
147.6283,-40.8225,1.8,15.703312816071376,0.1213760996226619,8.060904151146428
146.7843,-41.056,3.1,15.575570333240318,0.115701428978143,8.063043278864965
146.79,-41.0544,1.1,15.575570333240318,0.115701428978143,8.063043278864965
146.2834,-43.6445,18.5,14.982820069094725,0.12820810011415348,8.059720800403753
145.9862,-43.3227,8.299999999999999,14.928659670566255,0.11765028346075636,8.05802526868404
145.983,-43.3219,8.5,14.928659670566255,0.11765028346075636,8.05802526868404
145.9724,-43.4165,9.66,14.98525264481676,0.14192685064398272,8.057232289762315
145.9696,-43.4218,34.13333333333333,14.98525264481676,0.14192685064398272,8.057232289762315
146.1485,-43.5205,2.9,14.987757679095623,0.18318476950702858,8.059460397988765
145.9332,-43.3694,7.7,15.04408027517487,0.13749438300740197,8.057353290744624
145.9332,-43.3694,3.6,15.04408027517487,0.13749438300740197,8.057353290744624
147.5937,-40.8472,0.0,15.674827142355767,0.14067478543174156,8.061543467501869
147.5943,-40.8485,0.3,15.674827142355767,0.14067478543174156,8.061543467501869
148.1243,-42.5905,78.7,15.43648170981654,0.07040896203450886,8.070612400190482
148.3136,-41.8695,22.32,15.718451494943784,0.0482151423105491,8.062756796358954
148.2885,-42.2933,72.6,15.44103928617329,0.07536325512872268,8.07004570485302
145.9265,-43.299,35.65,15.019788901083977,0.1283547866843324,8.06022168219984
145.3084,-40.7665,51.0,15.609260470703697,0.06912743338338805,8.066591682576792
147.9693,-42.524,6.507692307692308,15.265681637196714,0.019877921042150224,8.077538639988836
147.4014,-43.1285,69.3,14.818683078825996,0.06608812467136696,8.077616032095898
147.3981,-42.9917,9.1,14.722517667535206,0.08333269259347038,8.079806324555994
145.8759,-43.316,17.0,15.074207351525077,0.13845593638496803,8.059064366449212
145.8737,-43.3181,14.275,15.074207351525077,0.13845593638496803,8.059064366449212
148.0463,-42.6025,21.892307692307693,15.244535170655183,0.029814190653030506,8.072219754166591
148.3423,-40.4895,17.0,16.033300040515964,0.06941387200740627,8.060139601036518
147.3421,-43.0534,63.37272727272728,14.750138908544113,0.05380731873653966,8.077519854781698
147.9481,-42.5531,13.323076923076922,15.212303550145903,0.02471799770617627,8.07466370795269
148.007,-42.6608,5.407692307692307,15.258844609184255,0.043376522659169345,8.07009968323099
148.2607,-42.1793,0.0,15.426009291268043,0.016526045283881484,8.06890470788128
148.0243,-42.629,23.558333333333334,15.244535170655183,0.029814190653030506,8.072219754166591
147.2818,-43.145,0.0,14.776040722452562,0.101355397022248,8.075380426066221
145.5164,-40.8585,4.7,15.596622415092735,0.06196545715698312,8.066018707082758
145.8504,-43.3095,2.4,15.074207351525077,0.13845593638496803,8.059064366449212
145.995,-43.3306,0.16,14.928659670566255,0.11765028346075636,8.05802526868404
148.2351,-42.3112,35.4,15.485630123635504,0.06681505038219974,8.069494922971746
148.2529,-42.292,14.6,15.44103928617329,0.07536325512872268,8.07004570485302
148.2764,-42.2952,27.8,15.44103928617329,0.07536325512872268,8.07004570485302
145.8428,-43.3093,10.016666666666667,15.11539744881992,0.15126793858961005,8.059531358608009
145.8424,-43.3098,5.75,15.11539744881992,0.15126793858961005,8.059531358608009
145.8467,-43.3042,8.433333333333334,15.11539744881992,0.15126793858961005,8.059531358608009
146.6668,-43.6004,19.4,14.883890405260388,0.1785921978334275,8.062432405132151
148.318,-41.249,64.3,15.863950273998112,0.03145251743094571,8.05970039660133
148.3311,-41.2484,51.7,15.863950273998112,0.03145251743094571,8.05970039660133
145.1946,-42.3099,0.2,15.406802914614568,0.07508254382791985,8.06704065122706
148.2294,-40.4645,0.0,16.03097616399035,0.08590195452437019,8.058645025303381
146.7848,-43.607,22.2,14.92208959910221,0.16876793785789312,8.062314526884833
145.1886,-42.214,1.5,15.390578470492802,0.051583234436907474,8.065891226702766
145.9882,-43.3294,21.525,14.928659670566255,0.11765028346075636,8.05802526868404
148.3143,-41.8745,16.883333333333333,15.718451494943784,0.0482151423105491,8.062756796358954
145.9172,-43.3033,16.808333333333334,15.035852244831053,0.12199395291323914,8.059234220610609
